Turn,TurnID,TurnType,narrative_time,speaker,addressee,qType,speakerType,speakerGender
You will see from what I say that I can hardly be blamed in the matter.,S246-0,narration,0.2131308182263596,narrator,,,narrator,A
"My fault lies in the fact that we concealed not only the body, but also the treasure, and that I have clung to Morstan s share as well as to my own.",S247-0,narration,0.2136207741303282,narrator,,,narrator,A
"I wish you, therefore, to make restitution.",S248-0,narration,0.2141107300342969,narrator,,,narrator,A
Put your ears down to my mouth.,S249-0,narration,0.2146006859382656,narrator,,,narrator,A
The treasure is hidden in,S250-0,narration,0.2150906418422342,narrator,,,narrator,A
"At this instant a horrible change came over his expression; his eyes stared wildly, his jaw dropped, and he yelled, in a voice which I can never forget,",Q114-9,quote,0.2155805977462028,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Anaphoric,minor,M
Keep him out!,S251-0,narration,0.2160705536501714,narrator,,,narrator,A
For Christ s sake keep him out!,S252-0,narration,0.2165605095541401,narrator,,,narrator,A
"We both stared round at the window behind us upon which his gaze was fixed. A face was looking in at us out of the darkness. We could see the whitening of the nose where it was pressed against the glass. It was a bearded, hairy face, with wild cruel eyes and an expression of concentrated malevolence. My brother and I rushed towards the window, but the man was gone. When we returned to my father his head had dropped and his pulse had ceased to beat.",Q114-10,quote,0.2170504654581088,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Anaphoric,minor,M
"We searched the garden that night, but found no sign of the intruder, save that just under the window a single footmark was visible in the flower-bed. But for that one trace, we might have thought that our imaginations had conjured up that wild, fierce face. We soon, however, had another and a more striking proof that there were secret agencies at work all round us. The window of my father s room was found open in the morning, his cupboards and boxes had been rifled, and upon his chest was fixed a torn piece of paper, with the words",Q114-11,quote,0.2175404213620774,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Anaphoric,minor,M
The sign of the four,S253-0,narration,0.218030377266046,narrator,,,narrator,A
"scrawled across it. What the phrase meant, or who our secret visitor may have been, we never knew. As far as we can judge, none of my father s property had been actually stolen, though everything had been turned out. My brother and I naturally associated this peculiar incident with the fear which haunted my father during his life; but it is still a complete mystery to us.",Q114-12,quote,0.2185203331700147,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Anaphoric,minor,M
The little man stopped to relight his hookah and puffed thoughtfully for a few moments.,S254-0,narration,0.2190102890739833,narrator,,,narrator,A
"We had all sat absorbed, listening to his extraordinary narrative.",S255-0,narration,0.2195002449779519,narrator,,,narrator,A
"At the short account of her father s death Miss Morstan had turned deadly white, and for a moment I feared that she was about to faint.",S256-0,narration,0.2199902008819206,narrator,,,narrator,A
"She rallied however, on drinking a glass of water which I quietly poured out for her from a Venetian carafe upon the side-table.",S257-0,narration,0.2204801567858892,narrator,,,narrator,A
Sherlock Holmes leaned back in his chair with an abstracted expression and the lids drawn low over his glittering eyes.,S258-0,narration,0.2209701126898579,narrator,,,narrator,A
As I glanced at him I could not but think how on that very day he had complained bitterly of the commonplaceness of life.,S259-0,narration,0.2214600685938265,narrator,,,narrator,A
Here at least was a problem which would tax his sagacity to the utmost.,S260-0,narration,0.2219500244977952,narrator,,,narrator,A
"Mr. Thaddeus Sholto looked from one to the other of us with an obvious pride at the effect which his story had produced, and then continued between the puffs of his overgrown pipe.",S261-0,narration,0.2224399804017638,narrator,,,narrator,A
"My brother and I,",Q115-0,quote,0.2229299363057325,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Anaphoric,minor,M
"said he,",S262-0,narration,0.2234198922097011,narrator,,,narrator,A
"were, as you may imagine, much excited as to the treasure which my father had spoken of. For weeks and for months we dug and delved in every part of the garden, without discovering its whereabouts. It was maddening to think that the hiding-place was on his very lips at the moment that he died. We could judge the splendour of the missing riches by the chaplet which he had taken out. Over this chaplet my brother Bartholomew and I had some little discussion. The pearls were evidently of great value, and he was averse to part with them, for, between friends, my brother was himself a little inclined to my father s fault. He thought, too, that if we parted with the chaplet it might give rise to gossip and finally bring us into trouble. It was all that I could do to persuade him to let me find out Miss Morstan s address and send her a detached pearl at fixed intervals, so that at least she might never feel destitute.",Q115-1,quote,0.2239098481136697,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Anaphoric,minor,M
"It was a kindly thought,",Q116-0,quote,0.2243998040176384,Miss Morstan,"['Mr. Sherlock Holmes', 'Dr. Watson', 'A High Piping Voice']",Anaphoric,minor,F
"said our companion, earnestly.",S263-0,narration,0.224889759921607,narrator,,,narrator,A
It was extremely good of you.,Q116-1,quote,0.2253797158255757,Miss Morstan,"['Mr. Sherlock Holmes', 'Dr. Watson', 'A High Piping Voice']",Anaphoric,minor,F
The little man waved his hand deprecatingly.,S264-0,narration,0.2258696717295444,narrator,,,narrator,A
"We were your trustees,",Q117-0,quote,0.2263596276335129,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Anaphoric,minor,M
he said.,S265-0,narration,0.2268495835374817,narrator,,,narrator,A
"That was the view which I took of it, though Brother Bartholomew could not altogether see it in that light. We had plenty of money ourselves. I desired no more. Besides, it would have been such bad taste to have treated a young lady in so scurvy a fashion.",Q117-1,quote,0.2273395394414503,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Anaphoric,minor,M
Le mauvais go t m ne au crime.,S266-0,narration,0.2278294953454189,narrator,,,narrator,A
"The French have a very neat way of putting these things. Our difference of opinion on this subject went so far that I thought it best to set up rooms for myself: so I left Pondicherry Lodge, taking the old khitmutgar and Williams with me. Yesterday, however, I learn that an event of extreme importance has occurred. The treasure has been discovered. I instantly communicated with Miss Morstan, and it only remains for us to drive out to Norwood and demand our share. I explained my views last night to Brother Bartholomew: so we shall be expected, if not welcome, visitors.",Q117-2,quote,0.2283194512493875,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Anaphoric,minor,M
"Mr. Thaddeus Sholto ceased, and sat twitching on his luxurious settee.",S267-0,narration,0.2288094071533562,narrator,,,narrator,A
"We all remained silent, with our thoughts upon the new development which the mysterious business had taken.",S268-0,narration,0.2292993630573248,narrator,,,narrator,A
Holmes was the first to spring to his feet.,S269-0,narration,0.2297893189612935,narrator,,,narrator,A
"You have done well, sir, from first to last,",Q118-0,quote,0.2302792748652621,Mr. Sherlock Holmes,"['A High Piping Voice', 'Dr. Watson', 'Miss Morstan']",Anaphoric,major,M
said he.,S270-0,narration,0.2307692307692308,narrator,,,narrator,A
"It is possible that we may be able to make you some small return by throwing some light upon that which is still dark to you. But, as Miss Morstan remarked just now, it is late, and we had best put the matter through without delay.",Q118-1,quote,0.2312591866731994,Mr. Sherlock Holmes,"['A High Piping Voice', 'Dr. Watson', 'Miss Morstan']",Anaphoric,major,M
"Our new acquaintance very deliberately coiled up the tube of his hookah, and produced from behind a curtain a very long befrogged topcoat with Astrakhan collar and cuffs.",S271-0,narration,0.231749142577168,narrator,,,narrator,A
"This he buttoned tightly up, in spite of the extreme closeness of the night, and finished his attire by putting on a rabbit-skin cap with hanging lappets which covered the ears, so that no part of him was visible save his mobile and peaky face.",S272-0,narration,0.2322390984811367,narrator,,,narrator,A
"My health is somewhat fragile,",Q119-0,quote,0.2327290543851053,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Anaphoric,minor,M
"he remarked, as he led the way down the passage.",S273-0,narration,0.233219010289074,narrator,,,narrator,A
I am compelled to be a valetudinarian.,Q119-1,quote,0.2337089661930426,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Anaphoric,minor,M
"Our cab was awaiting us outside, and our programme was evidently prearranged, for the driver started off at once at a rapid pace.",S274-0,narration,0.2341989220970113,narrator,,,narrator,A
"Thaddeus Sholto talked incessantly, in a voice which rose high above the rattle of the wheels.",S275-0,narration,0.2346888780009799,narrator,,,narrator,A
"Bartholomew is a clever fellow,",Q120-0,quote,0.2351788339049485,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Anaphoric,minor,M
said he.,S276-0,narration,0.2356687898089172,narrator,,,narrator,A
"How do you think he found out where the treasure was? He had come to the conclusion that it was somewhere indoors: so he worked out all the cubic space of the house, and made measurements everywhere, so that not one inch should be unaccounted for. Among other things, he found that the height of the building was seventy-four feet, but on adding together the heights of all the separate rooms, and making every allowance for the space between, which he ascertained by borings, he could not bring the total to more than seventy feet. There were four feet unaccounted for. These could only be at the top of the building. He knocked a hole, therefore, in the lath-and-plaster ceiling of the highest room, and there, sure enough, he came upon another little garret above it, which had been sealed up and was known to no one. In the centre stood the treasure-chest, resting upon two rafters. He lowered it through the hole, and there it lies. He computes the value of the jewels at not less than half a million sterling.",Q120-1,quote,0.2361587457128858,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Anaphoric,minor,M
At the mention of this gigantic sum we all stared at one another open-eyed.,S277-0,narration,0.2366487016168545,narrator,,,narrator,A
"Miss Morstan, could we secure her rights, would change from a needy governess to the richest heiress in England.",S278-0,narration,0.2371386575208231,narrator,,,narrator,A
"Surely it was the place of a loyal friend to rejoice at such news; yet I am ashamed to say that selfishness took me by the soul, and that my heart turned as heavy as lead within me.",S279-0,narration,0.2376286134247917,narrator,,,narrator,A
"I stammered out some few halting words of congratulation, and then sat downcast, with my head drooped, deaf to the babble of our new acquaintance.",S280-0,narration,0.2381185693287604,narrator,,,narrator,A
"He was clearly a confirmed hypochondriac, and I was dreamily conscious that he was pouring forth interminable trains of symptoms, and imploring information as to the composition and action of innumerable quack nostrums, some of which he bore about in a leather case in his pocket.",S281-0,narration,0.238608525232729,narrator,,,narrator,A
I trust that he may not remember any of the answers which I gave him that night.,S282-0,narration,0.2390984811366977,narrator,,,narrator,A
"Holmes declares that he overheard me caution him against the great danger of taking more than two drops of castor oil, while I recommended strychnine in large doses as a sedative.",S283-0,narration,0.2395884370406663,narrator,,,narrator,A
"However that may be, I was certainly relieved when our cab pulled up with a jerk and the coachman sprang down to open the door.",S284-0,narration,0.2400783929446349,narrator,,,narrator,A
"This, Miss Morstan, is Pondicherry Lodge,",Q121-0,quote,0.2405683488486036,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Explicit,minor,M
"said Mr. Thaddeus Sholto, as he handed her out.",S285-0,narration,0.2410583047525722,narrator,,,narrator,A
Chapter V The Tragedy of Pondicherry Lodge It was nearly eleven o clock when we reached this final stage of our night s adventures.,S286-0,narration,0.2415482606565409,narrator,,,narrator,A
"We had left the damp fog of the great city behind us, and the night was fairly fine.",S287-0,narration,0.2420382165605096,narrator,,,narrator,A
"A warm wind blew from the westward, and heavy clouds moved slowly across the sky, with half a moon peeping occasionally through the rifts.",S288-0,narration,0.2425281724644782,narrator,,,narrator,A
"It was clear enough to see for some distance, but Thaddeus Sholto took down one of the side-lamps from the carriage to give us a better light upon our way.",S289-0,narration,0.2430181283684469,narrator,,,narrator,A
"Pondicherry Lodge stood in its own grounds, and was girt round with a very high stone wall topped with broken glass.",S290-0,narration,0.2435080842724155,narrator,,,narrator,A
A single narrow iron-clamped door formed the only means of entrance.,S291-0,narration,0.2439980401763841,narrator,,,narrator,A
On this our guide knocked with a peculiar postman-like rat-tat.,S292-0,narration,0.2444879960803528,narrator,,,narrator,A
Who is there?,Q122-0,quote,0.2449779519843214,Mcmurdo,[],Anaphoric,too-minor,M
cried a gruff voice from within.,S293-0,narration,0.2454679078882901,narrator,,,narrator,A
"It is I, McMurdo. You surely know my knock by this time.",Q123-0,quote,0.2459578637922587,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Mcmurdo', 'Miss Morstan']",Implicit,minor,M
There was a grumbling sound and a clanking and jarring of keys.,S294-0,narration,0.2464478196962273,narrator,,,narrator,A
"The door swung heavily back, and a short, deep-chested man stood in the opening, with the yellow light of the lantern shining upon his protruded face and twinkling distrustful eyes.",S295-0,narration,0.246937775600196,narrator,,,narrator,A
"That you, Mr. Thaddeus? But who are the others? I had no orders about them from the master.",Q124-0,quote,0.2474277315041646,Mcmurdo,"['Mr. Sherlock Holmes', 'Dr. Watson', 'A High Piping Voice', 'Miss Morstan']",Implicit,too-minor,M
"No, McMurdo? You surprise me! I told my brother last night that I should bring some friends.",Q125-0,quote,0.2479176874081333,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Mcmurdo', 'Miss Morstan']",Implicit,minor,M
"He ain t been out o his room to-day, Mr. Thaddeus, and I have no orders. You know very well that I must stick to regulations. I can let you in, but your friends must just stop where they are.",Q126-0,quote,0.2484076433121019,Mcmurdo,"['Mr. Sherlock Holmes', 'Dr. Watson', 'A High Piping Voice', 'Miss Morstan']",Implicit,too-minor,M
This was an unexpected obstacle.,S296-0,narration,0.2488975992160705,narrator,,,narrator,A
Thaddeus Sholto looked about him in a perplexed and helpless manner.,S297-0,narration,0.2493875551200392,narrator,,,narrator,A
"This is too bad of you, McMurdo!",Q127-0,quote,0.2498775110240078,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Mcmurdo', 'Miss Morstan']",Anaphoric,minor,M
he said.,S298-0,narration,0.2503674669279765,narrator,,,narrator,A
"If I guarantee them, that is enough for you. There is the young lady, too. She cannot wait on the public road at this hour.",Q127-1,quote,0.2508574228319451,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Mcmurdo', 'Miss Morstan']",Anaphoric,minor,M
"Very sorry, Mr. Thaddeus,",Q128-0,quote,0.2513473787359138,Mcmurdo,"['Mr. Sherlock Holmes', 'Dr. Watson', 'A High Piping Voice', 'Miss Morstan']",Anaphoric,too-minor,M
"said the porter, inexorably.",S299-0,narration,0.2518373346398824,narrator,,,narrator,A
"Folk may be friends o yours, and yet no friends o the master s. He pays me well to do my duty, and my duty I ll do. I don t know none o your friends.",Q128-1,quote,0.252327290543851,Mcmurdo,"['Mr. Sherlock Holmes', 'Dr. Watson', 'A High Piping Voice', 'Miss Morstan']",Anaphoric,too-minor,M
"Oh, yes you do, McMurdo,",Q129-0,quote,0.2528172464478197,Mr. Sherlock Holmes,"['A High Piping Voice', 'Dr. Watson', 'Mcmurdo', 'Miss Morstan']",Explicit,major,M
"cried Sherlock Holmes, genially.",S300-0,narration,0.2533072023517883,narrator,,,narrator,A
I don t think you can have forgotten me. Don t you remember the amateur who fought three rounds with you at Alison s rooms on the night of your benefit four years back?,Q129-1,quote,0.253797158255757,Mr. Sherlock Holmes,"['A High Piping Voice', 'Dr. Watson', 'Mcmurdo', 'Miss Morstan']",Explicit,major,M
Not Mr. Sherlock Holmes!,Q130-0,quote,0.2542871141597256,Mcmurdo,"['Mr. Sherlock Holmes', 'Dr. Watson', 'A High Piping Voice', 'Miss Morstan']",Anaphoric,too-minor,M
roared the prize-fighter.,S301-0,narration,0.2547770700636943,narrator,,,narrator,A
"God s truth! how could I have mistook you? If instead o standin there so quiet you had just stepped up and given me that cross-hit of yours under the jaw, I d ha known you without a question. Ah, you re one that has wasted your gifts, you have! You might have aimed high, if you had joined the fancy.",Q130-1,quote,0.2552670259676629,Mcmurdo,"['Mr. Sherlock Holmes', 'Dr. Watson', 'A High Piping Voice', 'Miss Morstan']",Anaphoric,too-minor,M
"You see, Watson, if all else fails me I have still one of the scientific professions open to me,",Q131-0,quote,0.2557569818716315,Mr. Sherlock Holmes,"['A High Piping Voice', 'Dr. Watson', 'Mcmurdo', 'Miss Morstan']",Explicit,major,M
"said Holmes, laughing.",S302-0,narration,0.2562469377756002,narrator,,,narrator,A
"Our friend won t keep us out in the cold now, I am sure.",Q131-1,quote,0.2567368936795688,Mr. Sherlock Holmes,"['A High Piping Voice', 'Dr. Watson', 'Mcmurdo', 'Miss Morstan']",Explicit,major,M
"In you come, sir, in you come, you and your friends,",Q132-0,quote,0.2572268495835375,Mcmurdo,"['Mr. Sherlock Holmes', 'Dr. Watson', 'A High Piping Voice', 'Miss Morstan']",Anaphoric,too-minor,M
he answered.,S303-0,narration,0.2577168054875061,narrator,,,narrator,A
"Very sorry, Mr. Thaddeus, but orders are very strict. Had to be certain of your friends before I let them in.",Q132-1,quote,0.2582067613914747,Mcmurdo,"['Mr. Sherlock Holmes', 'Dr. Watson', 'A High Piping Voice', 'Miss Morstan']",Anaphoric,too-minor,M
"Inside, a gravel path wound through desolate grounds to a huge clump of a house, square and prosaic, all plunged in shadow save where a moonbeam struck one corner and glimmered in a garret window.",S304-0,narration,0.2586967172954434,narrator,,,narrator,A
"The vast size of the building, with its gloom and its deathly silence, struck a chill to the heart.",S305-0,narration,0.2591866731994121,narrator,,,narrator,A
"Even Thaddeus Sholto seemed ill at ease, and the lantern quivered and rattled in his hand.",S306-0,narration,0.2596766291033807,narrator,,,narrator,A
"I cannot understand it,",Q133-0,quote,0.2601665850073493,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Anaphoric,minor,M
he said.,S307-0,narration,0.260656540911318,narrator,,,narrator,A
"There must be some mistake. I distinctly told Bartholomew that we should be here, and yet there is no light in his window. I do not know what to make of it.",Q133-1,quote,0.2611464968152866,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Anaphoric,minor,M
Does he always guard the premises in this way?,Q134-0,quote,0.2616364527192553,Mr. Sherlock Holmes,"['A High Piping Voice', 'Dr. Watson', 'Miss Morstan']",Explicit,major,M
asked Holmes.,S308-0,narration,0.2621264086232239,narrator,,,narrator,A
"Yes; he has followed my father s custom. He was the favourite son, you know, and I sometimes think that my father may have told him more than he ever told me. That is Bartholomew s window up there where the moonshine strikes. It is quite bright, but there is no light from within, I think.",Q135-0,quote,0.2626163645271925,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Implicit,minor,M
"None,",Q136-0,quote,0.2631063204311612,Mr. Sherlock Holmes,"['A High Piping Voice', 'Dr. Watson', 'Miss Morstan']",Explicit,major,M
said Holmes.,S309-0,narration,0.2635962763351298,narrator,,,narrator,A
But I see the glint of a light in that little window beside the door.,Q136-1,quote,0.2640862322390985,Mr. Sherlock Holmes,"['A High Piping Voice', 'Dr. Watson', 'Miss Morstan']",Explicit,major,M
"Ah, that is the housekeeper s room. That is where old Mrs. Bernstone sits. She can tell us all about it. But perhaps you would not mind waiting here for a minute or two, for if we all go in together and she has no word of our coming she may be alarmed. But hush! what is that?",Q137-0,quote,0.2645761881430671,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Implicit,minor,M
"He held up the lantern, and his hand shook until the circles of light flickered and wavered all round us.",S310-0,narration,0.2650661440470357,narrator,,,narrator,A
"Miss Morstan seized my wrist, and we all stood with thumping hearts, straining our ears.",S311-0,narration,0.2655560999510044,narrator,,,narrator,A
"From the great black house there sounded through the silent night the saddest and most pitiful of sounds, the shrill, broken whimpering of a frightened woman.",S312-0,narration,0.266046055854973,narrator,,,narrator,A
"It is Mrs. Bernstone,",Q138-0,quote,0.2665360117589417,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Explicit,minor,M
said Sholto.,S313-0,narration,0.2670259676629103,narrator,,,narrator,A
She is the only woman in the house. Wait here. I shall be back in a moment.,Q138-1,quote,0.267515923566879,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Explicit,minor,M
"He hurried for the door, and knocked in his peculiar way.",S314-0,narration,0.2680058794708476,narrator,,,narrator,A
"We could see a tall old woman admit him, and sway with pleasure at the very sight of him.",S315-0,narration,0.2684958353748162,narrator,,,narrator,A
"Oh, Mr. Thaddeus, sir, I am so glad you have come! I am so glad you have come, Mr. Thaddeus, sir!",Q139-0,quote,0.2689857912787849,Mrs. Bernstone,['A High Piping Voice'],Implicit,too-minor,F
We heard her reiterated rejoicings until the door was closed and her voice died away into a muffled monotone.,S316-0,narration,0.2694757471827536,narrator,,,narrator,A
Our guide had left us the lantern.,S317-0,narration,0.2699657030867222,narrator,,,narrator,A
"Holmes swung it slowly round, and peered keenly at the house, and at the great rubbish-heaps which cumbered the grounds.",S318-0,narration,0.2704556589906908,narrator,,,narrator,A
"Miss Morstan and I stood together, and her hand was in mine.",S319-0,narration,0.2709456148946594,narrator,,,narrator,A
"A wondrous subtle thing is love, for here were we two who had never seen each other before that day, between whom no word or even look of affection had ever passed, and yet now in an hour of trouble our hands instinctively sought for each other.",S320-0,narration,0.2714355707986281,narrator,,,narrator,A
"I have marvelled at it since, but at the time it seemed the most natural thing that I should go out to her so, and, as she has often told me, there was in her also the instinct to turn to me for comfort and protection.",S321-0,narration,0.2719255267025968,narrator,,,narrator,A
"So we stood hand in hand, like two children, and there was peace in our hearts for all the dark things that surrounded us.",S322-0,narration,0.2724154826065654,narrator,,,narrator,A
What a strange place!,Q140-0,quote,0.2729054385105341,Miss Morstan,"['Mr. Sherlock Holmes', 'Dr. Watson']",Anaphoric,minor,F
"she said, looking round.",S323-0,narration,0.2733953944145027,narrator,,,narrator,A
"It looks as though all the moles in England had been let loose in it. I have seen something of the sort on the side of a hill near Ballarat, where the prospectors had been at work.",Q141-0,quote,0.2738853503184713,Dr. Watson,"['Mr. Sherlock Holmes', 'Miss Morstan']",Implicit,major,A
"And from the same cause,",Q142-0,quote,0.27437530622244,Mr. Sherlock Holmes,"['Dr. Watson', 'Miss Morstan']",Explicit,major,M
said Holmes.,S324-0,narration,0.2748652621264086,narrator,,,narrator,A
These are the traces of the treasure-seekers. You must remember that they were six years looking for it. No wonder that the grounds look like a gravel-pit.,Q142-1,quote,0.2753552180303773,Mr. Sherlock Holmes,"['Dr. Watson', 'Miss Morstan']",Explicit,major,M
"At that moment the door of the house burst open, and Thaddeus Sholto came running out, with his hands thrown forward and terror in his eyes.",S325-0,narration,0.2758451739343459,narrator,,,narrator,A
There is something amiss with Bartholomew!,Q143-0,quote,0.2763351298383145,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Anaphoric,minor,M
he cried.,S326-0,narration,0.2768250857422832,narrator,,,narrator,A
I am frightened! My nerves cannot stand it.,Q143-1,quote,0.2773150416462518,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Anaphoric,minor,M
"He was, indeed, half blubbering with fear, and his twitching feeble face peeping out from the great Astrakhan collar had the helpless appealing expression of a terrified child.",S327-0,narration,0.2778049975502205,narrator,,,narrator,A
"Come into the house,",Q144-0,quote,0.2782949534541891,Mr. Sherlock Holmes,"['A High Piping Voice', 'Dr. Watson', 'Miss Morstan']",Explicit,major,M
"said Holmes, in his crisp, firm way.",S328-0,narration,0.2787849093581577,narrator,,,narrator,A
"Yes, do!",Q145-0,quote,0.2792748652621264,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Explicit,minor,M
pleaded Thaddeus Sholto.,S329-0,narration,0.2797648211660951,narrator,,,narrator,A
I really do not feel equal to giving directions.,Q145-1,quote,0.2802547770700637,Mr. Thaddeus Sholto,"['Mr. Sherlock Holmes', 'Dr. Watson', 'Miss Morstan']",Explicit,minor,M
"We all followed him into the housekeeper s room, which stood upon the left-hand side of the passage.",S330-0,narration,0.2807447329740323,narrator,,,narrator,A
"The old woman was pacing up and down with a scared look and restless picking fingers, but the sight of Miss Morstan appeared to have a soothing effect upon her.",S331-0,narration,0.2812346888780009,narrator,,,narrator,A
God bless your sweet calm face!,Q146-0,quote,0.2817246447819696,Mrs. Bernstone,"['Mr. Sherlock Holmes', 'Dr. Watson', 'A High Piping Voice', 'Miss Morstan']",Anaphoric,too-minor,F
"she cried, with an hysterical sob.",S332-0,narration,0.2822146006859383,narrator,,,narrator,A
"It does me good to see you. Oh, but I have been sorely tried this day!",Q146-1,quote,0.2827045565899069,Mrs. Bernstone,"['Mr. Sherlock Holmes', 'Dr. Watson', 'A High Piping Voice', 'Miss Morstan']",Anaphoric,too-minor,F
"Our companion patted her thin, work-worn hand, and murmured some few words of kindly womanly comfort which brought the colour back into the other s bloodless cheeks.",S333-0,narration,0.2831945124938756,narrator,,,narrator,A
"Master has locked himself in and will not answer me,",Q147-0,quote,0.2836844683978441,Mrs. Bernstone,"['Mr. Sherlock Holmes', 'Dr. Watson', 'A High Piping Voice', 'Miss Morstan']",Anaphoric,too-minor,F
she explained.,S334-0,narration,0.2841744243018128,narrator,,,narrator,A
"All day I have waited to hear from him, for he often likes to be alone; but an hour ago I feared that something was amiss, so I went up and peeped through the key-hole. You must go up, Mr. Thaddeus, you must go up and look for yourself. I have seen Mr. Bartholomew Sholto in joy and in sorrow for ten long years, but I never saw him with such a face on him as that.",Q147-1,quote,0.2846643802057815,Mrs. Bernstone,"['Mr. Sherlock Holmes', 'Dr. Watson', 'A High Piping Voice', 'Miss Morstan']",Anaphoric,too-minor,F
"Sherlock Holmes took the lamp and led the way, for Thaddeus Sholto s teeth were chattering in his head.",S335-0,narration,0.2851543361097501,narrator,,,narrator,A
"So shaken was he that I had to pass my hand under his arm as we went up the stairs, for his knees were trembling under him.",S336-0,narration,0.2856442920137188,narrator,,,narrator,A
Twice as we ascended Holmes whipped his lens out of his pocket and carefully examined marks which appeared to me to be mere shapeless smudges of dust upon the cocoa-nut matting which served as a stair-carpet.,S337-0,narration,0.2861342479176874,narrator,,,narrator,A
"He walked slowly from step to step, holding the lamp, and shooting keen glances to right and left.",S338-0,narration,0.286624203821656,narrator,,,narrator,A
Miss Morstan had remained behind with the frightened housekeeper.,S339-0,narration,0.2871141597256247,narrator,,,narrator,A
"The third flight of stairs ended in a straight passage of some length, with a great picture in Indian tapestry upon the right of it and three doors upon the left.",S340-0,narration,0.2876041156295933,narrator,,,narrator,A
"Holmes advanced along it in the same slow and methodical way, while we kept close at his heels, with our long black shadows streaming backwards down the corridor.",S341-0,narration,0.288094071533562,narrator,,,narrator,A
The third door was that which we were seeking.,S342-0,narration,0.2885840274375306,narrator,,,narrator,A
"Holmes knocked without receiving any answer, and then tried to turn the handle and force it open.",S343-0,narration,0.2890739833414992,narrator,,,narrator,A
"It was locked on the inside, however, and by a broad and powerful bolt, as we could see when we set our lamp up against it.",S344-0,narration,0.2895639392454679,narrator,,,narrator,A
"The key being turned, however, the hole was not entirely closed.",S345-0,narration,0.2900538951494365,narrator,,,narrator,A
"Sherlock Holmes bent down to it, and instantly rose again with a sharp intaking of the breath.",S346-0,narration,0.2905438510534052,narrator,,,narrator,A
"There is something devilish in this, Watson,",Q148-0,quote,0.2910338069573738,Mr. Sherlock Holmes,"['Dr. Watson', 'A High Piping Voice']",Anaphoric,major,M
"said he, more moved than I had ever before seen him.",S347-0,narration,0.2915237628613425,narrator,,,narrator,A
What do you make of it?,Q148-1,quote,0.2920137187653111,Mr. Sherlock Holmes,"['Dr. Watson', 'A High Piping Voice']",Anaphoric,major,M
"I stooped to the hole, and recoiled in horror.",S348-0,narration,0.2925036746692798,narrator,,,narrator,A
"Moonlight was streaming into the room, and it was bright with a vague and shifty radiance.",S349-0,narration,0.2929936305732484,narrator,,,narrator,A
"Looking straight at me, and suspended, as it were, in the air, for all beneath was in shadow, there hung a face, the very face of our companion Thaddeus.",S350-0,narration,0.293483586477217,narrator,,,narrator,A
